Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Date,City,State,Country
Óscar Torres,2,2002,2003,82,1184,151,377,44,139,96,125,50,134,43,29,11,57,73,442,.401,.317,.768,"Dec 18, 1976",Caracas,,VE
Greivis Vásquez,7,2011,2017,401,9520,1378,3297,412,1180,423,518,125,1021,1935,236,34,753,767,3591,.418,.349,.817,"Jan 16, 1987",Caracas,,VE
Esteban Batista,2,2006,2007,70,576,42,96,0,1,37,60,68,174,11,18,11,42,124,121,.438,.000,.617,"Sep 2, 1983",Montevideo,,UY
Hasheem Thabeet,5,2010,2014,224,2357,182,321,0,0,119,206,203,595,27,59,184,123,453,483,.567,,.578,"Feb 16, 1987",Dar es Salaam,,TZ
OG Anunoby,7,2018,2024,397,11415,1780,3759,655,1745,489,659,434,1698,635,491,201,511,952,4704,.474,.375,.742,"Jul 17, 1997",London,,GB
Robert Archibald,2,2003,2004,44,328,15,53,0,0,21,49,27,69,16,14,6,17,59,51,.283,,.429,"Mar 29, 1980",Paisley,,GB
Kelenna Azubuike,5,2007,2012,208,5025,802,1748,210,514,364,473,257,829,230,130,103,203,408,2178,.459,.409,.770,"Dec 16, 1983",London,,GB
Steve Bucknall,1,1990,1990,18,75,9,33,0,1,5,6,5,7,10,2,1,11,10,23,.273,.000,.833,"Mar 17, 1966",London,,GB
James Donaldson,14,1981,1995,957,26222,3105,5442,0,0,1993,2722,2060,7492,765,336,1267,1454,2025,8203,.571,,.732,"Aug 16, 1957",Heacham,,GB
Ndudi Ebi,2,2004,2005,19,86,17,35,0,1,6,13,8,19,4,1,5,6,13,40,.486,.000,.462,"Jun 18, 1984",London,,GB
Joel Freeland,3,2013,2015,151,1821,209,455,0,2,59,81,190,518,65,32,56,74,255,477,.459,.000,.728,"Feb 7, 1987",Farnham,,GB
Ben Gordon,11,2005,2015,744,20366,3931,9092,1171,2921,2051,2394,333,1851,1868,508,114,1551,1720,11084,.432,.401,.857,"Apr 4, 1983",London,,GB
Woody Grimshaw,1,1947,1947,21,,20,56,,,21,44,,,1,,,,25,61,.357,,.477,"Sep 24, 1919",,,GB
Chris Harris,1,1956,1956,41,420,37,149,,,27,45,,44,44,,,,43,101,.248,,.600,"Aug 11, 1933",Southampton,,GB
Nikola Jović,2,2023,2024,23,313,45,101,17,52,24,28,14,67,25,10,3,16,40,131,.446,.327,.857,"Jun 9, 2003",Leicester,,GB
Pops Mensah-Bonsu,4,2007,2011,61,509,64,156,0,2,53,90,83,180,11,14,14,40,82,181,.410,.000,.589,"Sep 7, 1983",London,,GB
Admiral Schofield,4,2020,2024,118,1323,147,353,70,220,43,55,47,203,74,20,14,48,176,407,.416,.318,.782,"Mar 30, 1997",London,,GB
Joel Bolomboy,2,2017,2018,18,91,12,22,1,5,6,12,10,27,2,3,2,4,4,31,.545,.200,.500,"Jan 28, 1994",Kiev,,UA
Kyrylo Fesenko,5,2008,2012,135,1107,125,252,0,2,55,134,97,269,40,19,53,66,224,305,.496,.000,.410,"Dec 24, 1986",Dnepropetrovsk,,UA
Viktor Khryapa,4,2005,2008,143,2351,251,567,14,48,127,193,168,492,142,86,48,139,353,643,.443,.292,.658,"Aug 3, 1982",Kiev,,UA
Viacheslav Kravtsov,2,2013,2014,45,283,41,61,0,0,15,45,33,62,10,5,10,20,39,97,.672,,.333,"Aug 25, 1987",Odessa,,UA
Alex Len,11,2014,2024,606,11011,1706,3359,110,337,912,1338,1114,3434,514,229,567,696,1500,4434,.508,.326,.682,"Jun 16, 1993",Antratsit,,UA
Stanislav Medvedenko,7,2001,2007,263,3340,590,1311,2,13,208,281,335,744,136,88,42,159,518,1390,.450,.154,.740,"Apr 4, 1979",Karapyshi,,UA
Svi Mykhailiuk,6,2019,2024,265,4312,597,1490,337,947,165,216,88,459,356,152,25,231,260,1696,.401,.356,.764,"Jun 10, 1997",Cherkasy,,UA
Oleksiy Pecherov,3,2008,2010,111,1044,160,414,45,155,73,92,88,266,20,21,22,59,119,438,.386,.290,.793,"Dec 8, 1985",Donetsk,,UA
Vitaly Potapenko,11,1997,2007,610,11608,1639,3424,1,6,716,1031,1067,2725,418,258,209,786,1537,3995,.479,.167,.694,"Mar 21, 1975",Kiev,,UA
Dmytro Skapintsev,1,2024,2024,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,"May 12, 1998",Cherkasy,,UA
Raja Bell,12,2001,2012,706,19813,2581,5949,956,2357,880,1101,408,1968,1208,484,130,695,1840,6998,.434,.406,.799,"Sep 19, 1976",St. Croix,,VI
Charles Claxton,1,1996,1996,3,7,1,2,0,0,0,2,2,2,0,0,1,1,4,2,.500,,.000,"Dec 13, 1970",St. Thomas,,VI
Tim Duncan*,19,1998,2016,1392,47368,10285,20334,30,168,5896,8468,3859,15091,4225,1025,3020,3381,3304,26496,.506,.179,.696,"Apr 25, 1976",St. Croix,,VI
