state,code,region,division,pop2020,pop2010,pop2000
Wyoming,WY,West,Mountain,576851,563626,493782
Maryland,MD,South,South Atlantic,6177224,5773552,5296486
Arkansas,AR,South,West South Central,3011524,2915918,2673400
North Dakota,ND,Midwest,West North Central,779094,672591,642200
Delaware,DE,South,South Atlantic,989948,897934,783600
New Mexico,NM,West,Mountain,2117522,2059179,1819046
Utah,UT,West,Mountain,3271616,2763885,2233169
West Virginia,WV,South,South Atlantic,1793716,1852994,1808344
Kansas,KS,Midwest,West North Central,2937880,2853118,2688418
Georgia,GA,South,South Atlantic,10711908,9687653,8186453
Mississippi,MS,South,East South Central,2961279,2967297,2844658
Minnesota,MN,Midwest,West North Central,5706494,5303925,4919479
New Hampshire,NH,Northeast,New England,1377529,1316470,1235786
Missouri,MO,Midwest,West North Central,6154913,5988927,5595211
Idaho,ID,West,Mountain,1839106,1567582,1293953
South Dakota,SD,Midwest,West North Central,886667,814180,754844
Pennsylvania,PA,Northeast,Middle Atlantic,13002700,12702379,12281054
Oklahoma,OK,South,West South Central,3959353,3751351,3450654
Indiana,IN,Midwest,East North Central,6785528,6483802,6080485
New Jersey,NJ,Northeast,Middle Atlantic,9288994,8791894,8414350
Nebraska,NE,Midwest,West North Central,1961504,1826341,1711263
Colorado,CO,West,Mountain,5773714,5029196,4301261
New York,NY,Northeast,Middle Atlantic,20201249,19378102,18976457
Montana,MT,West,Mountain,1084225,989415,902195
Kentucky,KY,South,East South Central,4505836,4339367,4041769
Vermont,VT,Northeast,New England,643077,625741,608827
District of Columbia,DC,South,South Atlantic,689545,601723,572059
Florida,FL,South,South Atlantic,21538187,18801310,15982378
Nevada,NV,West,Mountain,3104614,2700551,1998257
Tennessee,TN,South,East South Central,6910840,6346105,5689283
Iowa,IA,Midwest,West North Central,3190369,3046355,2926324
Alabama,AL,South,East South Central,5024279,4779736,4447100
Michigan,MI,Midwest,East North Central,10077331,9883640,9938444
California,CA,West,Pacific,39538223,37253956,33871648
Connecticut,CT,Northeast,New England,3605944,3574097,3405565
Arizona,AZ,West,Mountain,7151502,6392017,5130632
Texas,TX,South,West South Central,29145505,25145561,20851820
Virginia,VA,South,South Atlantic,8631393,8001024,7078515
Illinois,IL,Midwest,East North Central,12812508,12830632,12419293
Oregon,OR,West,Pacific,4237256,3831074,3421399
Rhode Island,RI,Northeast,New England,1097379,1052567,1048319
South Carolina,SC,South,South Atlantic,5118425,4625364,4012012
Washington,WA,West,Pacific,7705281,6724540,5894121
Louisiana,LA,South,West South Central,4657757,4533372,4468976
Maine,ME,Northeast,New England,1362359,1328361,1274923
Ohio,OH,Midwest,East North Central,11799448,11536504,11353140
Wisconsin,WI,Midwest,East North Central,5893718,5686986,5363675
North Carolina,NC,South,South Atlantic,10439388,9535483,8049313
Massachusetts,MA,Northeast,New England,7029917,6547629,6349097
Alaska,AK,West,Pacific,733391,710231,626932
Hawaii,HI,West,Pacific,1455271,1360301,1211537
